fighter_a,fighter_b,a_kd,b_kd,a_sig_str_landed,a_sig_str_att,b_sig_str_landed,b_sig_str_att,a_total_str_landed,a_total_str_att,b_total_str_landed,b_total_str_att,a_td_landed,a_td_att,b_td_landed,b_td_att,a_sub_att,b_sub_att,a_rev,b_rev,a_ctrl_sec,b_ctrl_sec,a_head_landed,a_head_att,b_head_landed,b_head_att,a_body_landed,a_body_att,b_body_landed,b_body_att,a_leg_landed,a_leg_att,b_leg_landed,b_leg_att,a_dist_landed,a_dist_att,b_dist_landed,b_dist_att,a_clinch_landed,a_clinch_att,b_clinch_landed,b_clinch_att,a_ground_landed,a_ground_att,b_ground_landed,b_ground_att,fight_url
Vanessa Demopoulos,Maria Oliveira,0,0,14,23,24,46,31,43,28,50,1,1,0,0,0,0,0,0,159,0,7,15,15,37,2,2,4,4,5,6,5,5,7,14,24,46,0,0,0,0,7,9,0,0,http://www.ufcstats.com/fight-details/bd064deb3494b41a
Brady Hiestand,Fernie Garcia,0,0,3,9,6,11,13,24,30,38,1,3,0,0,0,1,0,1,205,53,2,8,4,9,1,1,0,0,0,0,2,2,3,9,5,10,0,0,0,0,0,0,1,1,http://www.ufcstats.com/fight-details/a3696c847ef6c7f9
Natalia Silva,Tereza Bleda,0,0,6,9,4,7,9,12,11,14,0,2,0,3,0,2,1,0,121,139,2,4,1,2,1,2,3,5,3,3,0,0,6,7,1,3,0,2,3,4,0,0,0,0,http://www.ufcstats.com/fight-details/33719a2d9c69ed17
Israel Adesanya,Alex Pereira,0,0,23,43,23,41,23,44,28,46,0,0,0,0,0,0,0,0,14,6,6,22,1,12,6,8,8,10,11,13,14,19,23,43,19,36,0,0,4,5,0,0,0,0,http://www.ufcstats.com/fight-details/04f32bb0c0d3a8cc
Carla Esparza,Zhang Weili,0,0,5,27,33,65,18,45,38,77,1,3,0,0,0,0,1,1,53,60,5,26,19,48,0,1,6,7,0,0,8,10,5,26,20,50,0,0,0,0,0,1,13,15,http://www.ufcstats.com/fight-details/85b5d59f8eea976a
Dustin Poirier,Michael Chandler,0,0,28,57,23,69,31,61,24,73,0,0,2,4,0,0,0,0,0,65,25,53,16,54,2,2,6,12,1,2,1,3,25,53,21,66,3,4,2,2,0,0,0,1,http://www.ufcstats.com/fight-details/4bf3010fdeea9d93
Frankie Edgar,Chris Gutierrez,0,1,2,12,10,20,2,12,10,20,0,0,0,0,0,0,0,0,0,1,0,5,6,14,0,1,0,1,2,6,4,5,2,12,10,20,0,0,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/09afa6ce4747a1a2
Dan Hooker,Claudio Puelles,0,0,10,27,0,5,16,35,0,5,0,0,0,2,0,1,0,0,71,0,2,13,0,4,2,3,0,1,6,11,0,0,10,27,0,5,0,0,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/77c78d0a71b10692
Brad Riddell,Renato Moicano,0,0,14,25,10,33,14,25,11,35,0,1,0,1,0,1,0,0,14,34,6,16,10,32,6,7,0,0,2,2,0,1,14,25,10,33,0,0,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/1f922cfe6178e830
Dominick Reyes,Ryan Spann,0,1,5,12,8,17,5,12,8,17,0,0,0,1,0,0,0,0,0,3,1,8,7,16,4,4,1,1,0,0,0,0,5,12,7,16,0,0,0,0,0,0,1,1,http://www.ufcstats.com/fight-details/6f22afbc5f8e0bd3
Erin Blanchfield,Molly McCann,0,0,25,38,7,13,93,115,7,13,1,1,0,0,2,0,0,0,168,0,22,34,2,7,1,2,3,3,2,2,2,3,7,19,7,13,0,0,0,0,18,19,0,0,http://www.ufcstats.com/fight-details/93da91272d4a7ce3
Andre Petroski,Wellington Turman,0,0,25,63,33,67,26,64,36,70,2,4,0,0,0,0,0,0,64,1,17,53,20,45,7,8,7,16,1,2,6,6,24,62,30,63,1,1,0,1,0,0,3,3,http://www.ufcstats.com/fight-details/65ce9335b93d9c57
