event,date,fight_url,fighter_a,fighter_b,winner,method,round,time,weight_class
UFC Fight Night: Machado Garry vs. Prates,"April 26, 2025",http://www.ufcstats.com/fight-details/633f4b5ec767769d,Ian Machado Garry,Carlos Prates,Draw/NC,U-DEC,5,5:00,Welterweight
UFC Fight Night: Machado Garry vs. Prates,"April 26, 2025",http://www.ufcstats.com/fight-details/a526a72ade275f46,Zhang Mingyang,Anthony Smith,Draw/NC,"KO/TKO

      

        Elbows",1,4:03,Light Heavyweight
UFC Fight Night: Machado Garry vs. Prates,"April 26, 2025",http://www.ufcstats.com/fight-details/4072abf0b0c179f2,David Onama,Giga Chikadze,Draw/NC,U-DEC,3,5:00,Featherweight
UFC Fight Night: Machado Garry vs. Prates,"April 26, 2025",http://www.ufcstats.com/fight-details/9bbd45774fb4a6eb,Abus Magomedov,Michel Pereira,Draw/NC,U-DEC,3,5:00,Middleweight
UFC Fight Night: Machado Garry vs. Prates,"April 26, 2025",http://www.ufcstats.com/fight-details/fbf83609dc96f32e,Randy Brown,Nicolas Dalby,Draw/NC,"KO/TKO

      

        Punch",2,1:39,Welterweight
UFC Fight Night: Machado Garry vs. Prates,"April 26, 2025",http://www.ufcstats.com/fight-details/62fbdd4f0bcd3c2a,Ikram Aliskerov,Andre Muniz,Draw/NC,"KO/TKO

      

        Punches",1,4:54,Middleweight
UFC Fight Night: Machado Garry vs. Prates,"April 26, 2025",http://www.ufcstats.com/fight-details/d8d22dcc1f6912e7,Matt Schnell,Jimmy Flick,Draw/NC,U-DEC,3,5:00,Flyweight
UFC Fight Night: Machado Garry vs. Prates,"April 26, 2025",http://www.ufcstats.com/fight-details/97770b38df67b276,Evan Elder,Gauge Young,Draw/NC,U-DEC,3,5:00,Lightweight
UFC Fight Night: Machado Garry vs. Prates,"April 26, 2025",http://www.ufcstats.com/fight-details/6f3cb7ce84185dd3,Chris Gutierrez,John Castaneda,Draw/NC,S-DEC,3,5:00,Featherweight
UFC Fight Night: Machado Garry vs. Prates,"April 26, 2025",http://www.ufcstats.com/fight-details/7d51649373d42571,Da'Mon Blackshear,Alatengheili,Draw/NC,U-DEC,3,5:00,Bantamweight
UFC Fight Night: Machado Garry vs. Prates,"April 26, 2025",http://www.ufcstats.com/fight-details/c2c20a04a78d9143,Malcolm Wellmaker,Cameron Saaiman,Draw/NC,"KO/TKO

      

        Punch",1,1:59,Bantamweight
UFC Fight Night: Machado Garry vs. Prates,"April 26, 2025",http://www.ufcstats.com/fight-details/e7b3ca036835b7c2,Jaqueline Amorim,Polyana Viana,Draw/NC,"SUB

      

        Rear Naked Choke",2,1:49,Women's Strawweight
UFC Fight Night: Machado Garry vs. Prates,"April 26, 2025",http://www.ufcstats.com/fight-details/23201d09a78d446d,Timmy Cuamba,Roberto Romero,Draw/NC,"KO/TKO

      

        Flying Knee",2,3:55,Featherweight
UFC Fight Night: Machado Garry vs. Prates,"April 26, 2025",http://www.ufcstats.com/fight-details/7fd6770fe2d4f258,Joselyne Edwards,Chelsea Chandler,Draw/NC,"KO/TKO

      

        Punches",1,2:31,Women's Bantamweight
UFC 314: Volkanovski vs. Lopes,"April 12, 2025",http://www.ufcstats.com/fight-details/e733f148060bef2a,Alexander Volkanovski,Diego Lopes,Draw/NC,U-DEC,5,5:00,Featherweight
UFC 314: Volkanovski vs. Lopes,"April 12, 2025",http://www.ufcstats.com/fight-details/d05cb4c4135ce402,Paddy Pimblett,Michael Chandler,Draw/NC,"KO/TKO

      

        Elbows",3,3:07,Lightweight
UFC 314: Volkanovski vs. Lopes,"April 12, 2025",http://www.ufcstats.com/fight-details/d3be5a4e0ec273e2,Yair Rodriguez,Patricio Freire,Draw/NC,U-DEC,3,5:00,Featherweight
UFC 314: Volkanovski vs. Lopes,"April 12, 2025",http://www.ufcstats.com/fight-details/8c540eb4afe8c43e,Jean Silva,Bryce Mitchell,Draw/NC,"SUB

      

        Guillotine Choke",2,3:52,Featherweight
UFC 314: Volkanovski vs. Lopes,"April 12, 2025",http://www.ufcstats.com/fight-details/b2d731415bd367df,Dominick Reyes,Nikita Krylov,Draw/NC,"KO/TKO

      

        Punch",1,2:24,Light Heavyweight
UFC 314: Volkanovski vs. Lopes,"April 12, 2025",http://www.ufcstats.com/fight-details/fc43d60cbd6b0e6a,Dan Ige,Sean Woodson,Draw/NC,"KO/TKO

      

        Punches",3,1:12,Featherweight
UFC 314: Volkanovski vs. Lopes,"April 12, 2025",http://www.ufcstats.com/fight-details/0eccebee160137b1,Virna Jandiroba,Yan Xiaonan,Draw/NC,U-DEC,3,5:00,Women's Strawweight
UFC 314: Volkanovski vs. Lopes,"April 12, 2025",http://www.ufcstats.com/fight-details/11eb27a1ac74d225,Chase Hooper,Jim Miller,Draw/NC,U-DEC,3,5:00,Lightweight
UFC 314: Volkanovski vs. Lopes,"April 12, 2025",http://www.ufcstats.com/fight-details/08e7a39eb7482ebf,Julian Erosa,Darren Elkins,Draw/NC,"KO/TKO

      

        Punches",1,4:15,Featherweight
UFC 314: Volkanovski vs. Lopes,"April 12, 2025",http://www.ufcstats.com/fight-details/4bbda6c1f6cf9d4e,Michal Oleksiejczuk,Sedriques Dumas,Draw/NC,"KO/TKO

      

        Punches",1,2:49,Middleweight
UFC 314: Volkanovski vs. Lopes,"April 12, 2025",http://www.ufcstats.com/fight-details/fd98843926965cbd,Sumudaerji,Mitch Raposo,Draw/NC,S-DEC,3,5:00,Flyweight
UFC 314: Volkanovski vs. Lopes,"April 12, 2025",http://www.ufcstats.com/fight-details/b87d6f71d901355b,Marco Tulio,Tresean Gore,Draw/NC,"KO/TKO

      

        Punch",2,3:16,Middleweight
UFC 314: Volkanovski vs. Lopes,"April 12, 2025",http://www.ufcstats.com/fight-details/0e71e69359db4d1e,Nora Cornolle,Hailey Cowan,Draw/NC,"SUB

      

        Rear Naked Choke",2,1:52,Women's Bantamweight
UFC Fight Night: Emmett vs. Murphy,"April 05, 2025",http://www.ufcstats.com/fight-details/86a1be10255eea4e,Lerone Murphy,Josh Emmett,Draw/NC,U-DEC,5,5:00,Featherweight
UFC Fight Night: Emmett vs. Murphy,"April 05, 2025",http://www.ufcstats.com/fight-details/a160e94fdb66de17,Pat Sabatini,Joanderson Brito,Draw/NC,U-DEC,3,5:00,Featherweight
UFC Fight Night: Emmett vs. Murphy,"April 05, 2025",http://www.ufcstats.com/fight-details/fc3825dd1b67e39d,ChangHo Lee,Cortavious Romious,Draw/NC,"KO/TKO

      

        Elbows",2,3:48,Bantamweight
UFC Fight Night: Emmett vs. Murphy,"April 05, 2025",http://www.ufcstats.com/fight-details/0c80eef2f4570543,Brad Tavares,Gerald Meerschaert,Draw/NC,U-DEC,3,5:00,Middleweight
UFC Fight Night: Emmett vs. Murphy,"April 05, 2025",http://www.ufcstats.com/fight-details/de9422207df2de64,Ode Osbourne,Luis Gurule,Draw/NC,"KO/TKO

      

        Punch",2,1:54,Flyweight
UFC Fight Night: Emmett vs. Murphy,"April 05, 2025",http://www.ufcstats.com/fight-details/d1368ca941c1fefc,Torrez Finney,Robert Valentin,Draw/NC,S-DEC,3,5:00,Middleweight
UFC Fight Night: Emmett vs. Murphy,"April 05, 2025",http://www.ufcstats.com/fight-details/76641669c1607b7a,Dione Barbosa,Diana Belbita,Draw/NC,"SUB

      

        Arm Triangle",1,4:13,Women's Flyweight
UFC Fight Night: Emmett vs. Murphy,"April 05, 2025",http://www.ufcstats.com/fight-details/58811a4e36c53b89,Rhys McKee,Daniel Frunza,Draw/NC,KO/TKO,1,5:00,Welterweight
UFC Fight Night: Emmett vs. Murphy,"April 05, 2025",http://www.ufcstats.com/fight-details/fd088ce1481315a5,Loma Lookboonmee,Istela Nunes,Draw/NC,U-DEC,3,5:00,Women's Strawweight
UFC Fight Night: Emmett vs. Murphy,"April 05, 2025",http://www.ufcstats.com/fight-details/4b1aec2395ebca14,Victor Henry,Pedro Falcao,Draw/NC,U-DEC,3,5:00,Bantamweight
UFC Fight Night: Emmett vs. Murphy,"April 05, 2025",http://www.ufcstats.com/fight-details/96cc199d78732d11,Martin Buday,Uran Satybaldiev,Draw/NC,U-DEC,3,5:00,Heavyweight
UFC Fight Night: Emmett vs. Murphy,"April 05, 2025",http://www.ufcstats.com/fight-details/cca4d763b1c6de0a,Talita Alencar,Vanessa Demopoulos,Draw/NC,U-DEC,3,5:00,Women's Strawweight
UFC Fight Night: Moreno vs. Erceg,"March 29, 2025",http://www.ufcstats.com/fight-details/33e301872e2b5680,Brandon Moreno,Steve Erceg,Draw/NC,U-DEC,5,5:00,Flyweight
UFC Fight Night: Moreno vs. Erceg,"March 29, 2025",http://www.ufcstats.com/fight-details/8fc8d66ad0074ab0,Manuel Torres,Drew Dober,Draw/NC,"KO/TKO

      

        Punches",1,1:45,Lightweight
UFC Fight Night: Moreno vs. Erceg,"March 29, 2025",http://www.ufcstats.com/fight-details/ab4a91a59c01d6b6,Edgar Chairez,CJ Vergara,Draw/NC,"SUB

      

        Rear Naked Choke",1,2:30,Flyweight
UFC Fight Night: Moreno vs. Erceg,"March 29, 2025",http://www.ufcstats.com/fight-details/0f20c1d7c44fa5fe,Raul Rosas Jr.,Vince Morales,Draw/NC,U-DEC,3,5:00,Bantamweight
UFC Fight Night: Moreno vs. Erceg,"March 29, 2025",http://www.ufcstats.com/fight-details/55376d5c205fa844,David Martinez,Saimon Oliveira,Draw/NC,"KO/TKO

      

        Knee",1,4:38,Bantamweight
UFC Fight Night: Moreno vs. Erceg,"March 29, 2025",http://www.ufcstats.com/fight-details/5ba7dd466e30169f,Kevin Borjas,Ronaldo Rodriguez,Draw/NC,U-DEC,3,5:00,Flyweight
UFC Fight Night: Moreno vs. Erceg,"March 29, 2025",http://www.ufcstats.com/fight-details/64fe6e61a24dbf39,Ateba Gautier,Jose Daniel Medina,Draw/NC,"KO/TKO

      

        Knee",1,3:32,Middleweight
UFC Fight Night: Moreno vs. Erceg,"March 29, 2025",http://www.ufcstats.com/fight-details/41cdbcc0f3635b8f,Melquizael Costa,Christian Rodriguez,Draw/NC,U-DEC,3,5:00,Featherweight
UFC Fight Night: Moreno vs. Erceg,"March 29, 2025",http://www.ufcstats.com/fight-details/7efca050bc7be8ac,Loopy Godinez,Julia Polastri,Draw/NC,U-DEC,3,5:00,Women's Strawweight
UFC Fight Night: Moreno vs. Erceg,"March 29, 2025",http://www.ufcstats.com/fight-details/7e3fc760b26b6ae4,Rafa Garcia,Vinc Pichel,Draw/NC,U-DEC,3,5:00,Lightweight
UFC Fight Night: Moreno vs. Erceg,"March 29, 2025",http://www.ufcstats.com/fight-details/e2e2537a345367d4,Jamall Emmers,Gabriel Miranda,Draw/NC,"KO/TKO

      

        Punch",1,4:06,Featherweight
UFC Fight Night: Moreno vs. Erceg,"March 29, 2025",http://www.ufcstats.com/fight-details/9f66d450af690df5,MarQuel Mederos,Austin Hubbard,Draw/NC,S-DEC,3,5:00,Lightweight
UFC Fight Night: Edwards vs. Brady,"March 22, 2025",http://www.ufcstats.com/fight-details/371ed8497799998e,Sean Brady,Leon Edwards,Draw/NC,"SUB

      

        Guillotine Choke",4,1:39,Welterweight
UFC Fight Night: Edwards vs. Brady,"March 22, 2025",http://www.ufcstats.com/fight-details/6d9ea9f436ed354d,Carlos Ulberg,Jan Blachowicz,Draw/NC,U-DEC,3,5:00,Light Heavyweight
UFC Fight Night: Edwards vs. Brady,"March 22, 2025",http://www.ufcstats.com/fight-details/96c6be6b22385967,Kevin Holland,Gunnar Nelson,Draw/NC,U-DEC,3,5:00,Welterweight
UFC Fight Night: Edwards vs. Brady,"March 22, 2025",http://www.ufcstats.com/fight-details/b5b4b69bccb9ff4a,Alexia Thainara,Molly McCann,Draw/NC,"SUB

      

        Rear Naked Choke",1,4:32,Women's Strawweight
UFC Fight Night: Edwards vs. Brady,"March 22, 2025",http://www.ufcstats.com/fight-details/8e6640c007ad603d,Chris Duncan,Jordan Vucenic,Draw/NC,"SUB

      

        Guillotine Choke",2,3:42,Lightweight
UFC Fight Night: Edwards vs. Brady,"March 22, 2025",http://www.ufcstats.com/fight-details/9779eb1aae1d4654,Nathaniel Wood,Morgan Charriere,Draw/NC,U-DEC,3,5:00,Featherweight
UFC Fight Night: Edwards vs. Brady,"March 22, 2025",http://www.ufcstats.com/fight-details/2a1071689c3af9df,Chris Padilla,Jai Herbert,Draw/NC,S-DEC,3,5:00,Lightweight
UFC Fight Night: Edwards vs. Brady,"March 22, 2025",http://www.ufcstats.com/fight-details/e5a88f5c686173c4,Lone'er Kavanagh,Felipe dos Santos,Draw/NC,U-DEC,3,5:00,Flyweight
UFC Fight Night: Edwards vs. Brady,"March 22, 2025",http://www.ufcstats.com/fight-details/dd229687cb62c871,Marcin Tybura,Mick Parkin,Draw/NC,U-DEC,3,5:00,Heavyweight
UFC Fight Night: Edwards vs. Brady,"March 22, 2025",http://www.ufcstats.com/fight-details/8af2b589d5e9c1ae,Christian Leroy Duncan,Andrey Pulyaev,Draw/NC,U-DEC,3,5:00,Middleweight
UFC Fight Night: Edwards vs. Brady,"March 22, 2025",http://www.ufcstats.com/fight-details/a693622ad8c0d672,Shauna Bannon,Puja Tomar,Draw/NC,"SUB

      

        Armbar",2,3:22,Women's Strawweight
UFC Fight Night: Edwards vs. Brady,"March 22, 2025",http://www.ufcstats.com/fight-details/1b02588149d126bf,Caolan Loughran,Nathan Fletcher,Draw/NC,S-DEC,3,5:00,Bantamweight
UFC Fight Night: Edwards vs. Brady,"March 22, 2025",http://www.ufcstats.com/fight-details/265dbd9be8caa7de,Kaue Fernandes,Guram Kutateladze,Draw/NC,U-DEC,3,5:00,Lightweight
UFC Fight Night: Vettori vs. Dolidze 2,"March 15, 2025",http://www.ufcstats.com/fight-details/67f7163e536d62e2,Roman Dolidze,Marvin Vettori,Draw/NC,U-DEC,5,5:00,Middleweight
UFC Fight Night: Vettori vs. Dolidze 2,"March 15, 2025",http://www.ufcstats.com/fight-details/c83133ee114945ed,Chidi Njokuani,Elizeu Zaleski dos Santos,Draw/NC,"KO/TKO

      

        Knee",2,2:19,Welterweight
UFC Fight Night: Vettori vs. Dolidze 2,"March 15, 2025",http://www.ufcstats.com/fight-details/d8f40b82364b6411,Alexander Hernandez,Kurt Holobaugh,Draw/NC,U-DEC,3,5:00,Lightweight
UFC Fight Night: Vettori vs. Dolidze 2,"March 15, 2025",http://www.ufcstats.com/fight-details/ab1aa23060d4e87b,Da'Mon Blackshear,Cody Gibson,Draw/NC,"SUB

      

        Kimura",2,4:09,Bantamweight
UFC Fight Night: Vettori vs. Dolidze 2,"March 15, 2025",http://www.ufcstats.com/fight-details/e56403718205b494,Brendson Ribeiro,Diyar Nurgozhay,Draw/NC,"SUB

      

        Kimura",2,1:28,Light Heavyweight
UFC Fight Night: Vettori vs. Dolidze 2,"March 15, 2025",http://www.ufcstats.com/fight-details/36db86c39ed09997,Kevin Vallejos,SeungWoo Choi,Draw/NC,"KO/TKO

      

        Punches",1,3:09,Featherweight
UFC Fight Night: Vettori vs. Dolidze 2,"March 15, 2025",http://www.ufcstats.com/fight-details/74bc22b367cca118,Waldo Cortes Acosta,Ryan Spann,Draw/NC,"KO/TKO

      

        Punches",2,4:48,Heavyweight
UFC Fight Night: Vettori vs. Dolidze 2,"March 15, 2025",http://www.ufcstats.com/fight-details/29d9c5a3f2b78903,SuYoung You,AJ Cunningham,Draw/NC,U-DEC,3,5:00,Bantamweight
UFC Fight Night: Vettori vs. Dolidze 2,"March 15, 2025",http://www.ufcstats.com/fight-details/cb3eb07b7152366e,Carlos Vera,Josias Musasa,Draw/NC,"SUB

      

        Rear Naked Choke",1,3:16,Bantamweight
UFC Fight Night: Vettori vs. Dolidze 2,"March 15, 2025",http://www.ufcstats.com/fight-details/5fa6543868367f4b,Sam Hughes,Stephanie Luciano,Draw/NC,S-DEC,3,5:00,Women's Strawweight
UFC Fight Night: Vettori vs. Dolidze 2,"March 15, 2025",http://www.ufcstats.com/fight-details/5d8af316413ea2f7,Andre Lima,Daniel Barez,Draw/NC,"SUB

      

        Rear Naked Choke",3,3:05,Flyweight
UFC Fight Night: Vettori vs. Dolidze 2,"March 15, 2025",http://www.ufcstats.com/fight-details/1c62a7444808d97f,Priscila Cachoeira,Josiane Nunes,Draw/NC,"KO/TKO

      

        Punch",1,2:46,Women's Bantamweight
UFC Fight Night: Vettori vs. Dolidze 2,"March 15, 2025",http://www.ufcstats.com/fight-details/a8f8245096eaf0cd,Carli Judice,Yuneisy Duben,Draw/NC,"KO/TKO

      

        Kick",1,1:40,Women's Flyweight
UFC 313: Pereira vs. Ankalaev,"March 08, 2025",http://www.ufcstats.com/fight-details/9e05fe95a4fc63bc,Magomed Ankalaev,Alex Pereira,Draw/NC,U-DEC,5,5:00,Light Heavyweight
UFC 313: Pereira vs. Ankalaev,"March 08, 2025",http://www.ufcstats.com/fight-details/a2f31cf3a28a7730,Justin Gaethje,Rafael Fiziev,Draw/NC,U-DEC,3,5:00,Lightweight
UFC 313: Pereira vs. Ankalaev,"March 08, 2025",http://www.ufcstats.com/fight-details/a3cd6a65aaa9f104,Ignacio Bahamondes,Jalin Turner,Draw/NC,"SUB

      

        Triangle Choke",1,2:29,Lightweight
UFC 313: Pereira vs. Ankalaev,"March 08, 2025",http://www.ufcstats.com/fight-details/79f1c9f97d83ec83,Amanda Lemos,Iasmin Lucindo,Draw/NC,U-DEC,3,5:00,Women's Strawweight
UFC 313: Pereira vs. Ankalaev,"March 08, 2025",http://www.ufcstats.com/fight-details/231968c02cdfe65e,Mauricio Ruffy,King Green,Draw/NC,"KO/TKO

      

        Kick",1,2:07,Lightweight
UFC 313: Pereira vs. Ankalaev,"March 08, 2025",http://www.ufcstats.com/fight-details/af3e43049bc86fe9,Joshua Van,Rei Tsuruya,Draw/NC,U-DEC,3,5:00,Flyweight
UFC 313: Pereira vs. Ankalaev,"March 08, 2025",http://www.ufcstats.com/fight-details/e61cb905f6152183,Brunno Ferreira,Armen Petrosyan,Draw/NC,"SUB

      

        Armbar",2,4:27,Middleweight
UFC 313: Pereira vs. Ankalaev,"March 08, 2025",http://www.ufcstats.com/fight-details/cab4937435d081d0,Carlos Leal,Alex Morono,Draw/NC,"KO/TKO

      

        Punches",1,4:16,Welterweight
UFC 313: Pereira vs. Ankalaev,"March 08, 2025",http://www.ufcstats.com/fight-details/19fe7177254802d1,Mairon Santos,Francis Marshall,Draw/NC,S-DEC,3,5:00,Featherweight
UFC 313: Pereira vs. Ankalaev,"March 08, 2025",http://www.ufcstats.com/fight-details/96c2f85b46e98e91,Ozzy Diaz,Djorden Santos,Draw/NC,U-DEC,3,5:00,Middleweight
UFC Fight Night: Kape vs. Almabayev,"March 01, 2025",http://www.ufcstats.com/fight-details/9d8a37f130db13e5,Manel Kape,Asu Almabayev,Draw/NC,"KO/TKO

      

        Punches",3,2:16,Flyweight
UFC Fight Night: Kape vs. Almabayev,"March 01, 2025",http://www.ufcstats.com/fight-details/6bdf0756fb57aced,Cody Brundage,Julian Marquez,Draw/NC,"KO/TKO

      

        Punches",1,4:45,Middleweight
UFC Fight Night: Kape vs. Almabayev,"March 01, 2025",http://www.ufcstats.com/fight-details/061990783b9bdb36,Nasrat Haqparast,Esteban Ribovics,Draw/NC,S-DEC,3,5:00,Lightweight
UFC Fight Night: Kape vs. Almabayev,"March 01, 2025",http://www.ufcstats.com/fight-details/0dfdc94c1da32e20,Hyder Amil,William Gomis,Draw/NC,S-DEC,3,5:00,Featherweight
UFC Fight Night: Kape vs. Almabayev,"March 01, 2025",http://www.ufcstats.com/fight-details/d6c3b730dc9f21a5,Sam Patterson,Danny Barlow,Draw/NC,"KO/TKO

      

        Punch",1,3:10,Welterweight
UFC Fight Night: Kape vs. Almabayev,"March 01, 2025",http://www.ufcstats.com/fight-details/a857acedb53ee959,Mario Pinto,Austen Lane,Draw/NC,"KO/TKO

      

        Punch",2,0:39,Heavyweight
UFC Fight Night: Kape vs. Almabayev,"March 01, 2025",http://www.ufcstats.com/fight-details/dd1df7f5a54fd9fc,Chepe Mariscal,Ricardo Ramos,Draw/NC,U-DEC,3,5:00,Featherweight
UFC Fight Night: Kape vs. Almabayev,"March 01, 2025",http://www.ufcstats.com/fight-details/1de799f17556b501,Danny Silva,Lucas Almeida,Draw/NC,S-DEC,3,5:00,Featherweight
UFC Fight Night: Kape vs. Almabayev,"March 01, 2025",http://www.ufcstats.com/fight-details/1ada4b9ee5810e0f,JJ Aldrich,Andrea Lee,Draw/NC,U-DEC,3,5:00,Women's Flyweight
UFC Fight Night: Kape vs. Almabayev,"March 01, 2025",http://www.ufcstats.com/fight-details/206b8c14546d71f1,Ramazan Temirov,Charles Johnson,Draw/NC,U-DEC,3,5:00,Flyweight
UFC Fight Night: Cejudo vs. Song,"February 22, 2025",http://www.ufcstats.com/fight-details/b959e2c1d16ff832,Song Yadong,Henry Cejudo,Draw/NC,U-DEC,3,5:00,Bantamweight
UFC Fight Night: Cejudo vs. Song,"February 22, 2025",http://www.ufcstats.com/fight-details/0cdca4c22b8d3ab5,Anthony Hernandez,Brendan Allen,Draw/NC,U-DEC,3,5:00,Middleweight
UFC Fight Night: Cejudo vs. Song,"February 22, 2025",http://www.ufcstats.com/fight-details/19c8092496e94b85,Rob Font,Jean Matsumoto,Draw/NC,S-DEC,3,5:00,Catch Weight
UFC Fight Night: Cejudo vs. Song,"February 22, 2025",http://www.ufcstats.com/fight-details/8ef7723b6a8b45e1,Jean Silva,Melsik Baghdasaryan,Draw/NC,"KO/TKO

      

        Punch",1,4:15,Featherweight
UFC Fight Night: Cejudo vs. Song,"February 22, 2025",http://www.ufcstats.com/fight-details/c0d8a231d2f1d1af,Alonzo Menifield,Julius Walker,Draw/NC,S-DEC,3,5:00,Light Heavyweight
UFC Fight Night: Cejudo vs. Song,"February 22, 2025",http://www.ufcstats.com/fight-details/08763e87e10b9709,Ion Cutelaba,Ibo Aslan,Draw/NC,"SUB

      

        Arm Triangle",1,2:51,Light Heavyweight
UFC Fight Night: Cejudo vs. Song,"February 22, 2025",http://www.ufcstats.com/fight-details/3ded9bfdfb75f39b,Melquizael Costa,Andre Fili,Draw/NC,"SUB

      

        Guillotine Choke",1,4:30,Featherweight
UFC Fight Night: Cejudo vs. Song,"February 22, 2025",http://www.ufcstats.com/fight-details/e011819e721c4a2a,Mansur Abdul-Malik,Nick Klein,Draw/NC,"KO/TKO

      

        Punches",2,3:24,Middleweight
UFC Fight Night: Cejudo vs. Song,"February 22, 2025",http://www.ufcstats.com/fight-details/bc6d70ab959dce70,Ricky Simon,Javid Basharat,Draw/NC,"KO/TKO

      

        Punch",1,3:58,Bantamweight
UFC Fight Night: Cejudo vs. Song,"February 22, 2025",http://www.ufcstats.com/fight-details/615f7f894bafad82,Austin Vanderford,Nikolay Veretennikov,Draw/NC,"KO/TKO

      

        Punches",2,4:13,Catch Weight
UFC Fight Night: Cejudo vs. Song,"February 22, 2025",http://www.ufcstats.com/fight-details/e9dfc2f009a77a8d,Nursulton Ruziboev,Eric McConico,Draw/NC,"KO/TKO

      

        Punch",2,0:33,Middleweight
UFC Fight Night: Cejudo vs. Song,"February 22, 2025",http://www.ufcstats.com/fight-details/b6475543ab6d20c9,Modestas Bukauskas,Rafael Cerqueira,Draw/NC,"KO/TKO

      

        Punches",1,2:12,Light Heavyweight
UFC Fight Night: Cannonier vs. Rodrigues,"February 15, 2025",http://www.ufcstats.com/fight-details/365e2d891b98b86d,Jared Cannonier,Gregory Rodrigues,Draw/NC,"KO/TKO

      

        Punches",4,0:21,Middleweight
UFC Fight Night: Cannonier vs. Rodrigues,"February 15, 2025",http://www.ufcstats.com/fight-details/68913a422f548ccc,Youssef Zalal,Calvin Kattar,Draw/NC,U-DEC,3,5:00,Featherweight
UFC Fight Night: Cannonier vs. Rodrigues,"February 15, 2025",http://www.ufcstats.com/fight-details/f5386c98fea7f5d4,Edmen Shahbazyan,Dylan Budka,Draw/NC,"KO/TKO

      

        Punch",1,1:35,Middleweight
UFC Fight Night: Cannonier vs. Rodrigues,"February 15, 2025",http://www.ufcstats.com/fight-details/ce1436a9b58902a7,Nazim Sadykhov,Ismael Bonfim,Draw/NC,KO/TKO,1,5:00,Lightweight
UFC Fight Night: Cannonier vs. Rodrigues,"February 15, 2025",http://www.ufcstats.com/fight-details/875b249ebe45a66b,Andre Petroski,Rodolfo Vieira,Draw/NC,U-DEC,3,5:00,Middleweight
UFC Fight Night: Cannonier vs. Rodrigues,"February 15, 2025",http://www.ufcstats.com/fight-details/2a493f15e079a7ff,Jose Delgado,Connor Matthews,Draw/NC,"KO/TKO

      

        Punches",1,2:58,Featherweight
UFC Fight Night: Cannonier vs. Rodrigues,"February 15, 2025",http://www.ufcstats.com/fight-details/f4817d5cbe9be532,Angela Hill,Ketlen Souza,Draw/NC,S-DEC,3,5:00,Women's Strawweight
UFC Fight Night: Cannonier vs. Rodrigues,"February 15, 2025",http://www.ufcstats.com/fight-details/2ae33fce63a75df9,Rafael Estevam,Jesus Aguilar,Draw/NC,U-DEC,3,5:00,Flyweight
UFC Fight Night: Cannonier vs. Rodrigues,"February 15, 2025",http://www.ufcstats.com/fight-details/7b9f169016746f81,Gabriel Bonfim,Khaos Williams,Draw/NC,"SUB

      

        D'Arce Choke",2,4:58,Welterweight
UFC Fight Night: Cannonier vs. Rodrigues,"February 15, 2025",http://www.ufcstats.com/fight-details/07b357090cc91c2c,Elijah Smith,Vince Morales,Draw/NC,U-DEC,3,5:00,Bantamweight
UFC Fight Night: Cannonier vs. Rodrigues,"February 15, 2025",http://www.ufcstats.com/fight-details/3b2a24db4eeaeede,Valter Walker,Don'Tale Mayes,Draw/NC,"SUB

      

        Heel Hook",1,1:17,Heavyweight
UFC Fight Night: Cannonier vs. Rodrigues,"February 15, 2025",http://www.ufcstats.com/fight-details/58668a0736602842,Jacqueline Cavalcanti,Julia Avila,Draw/NC,U-DEC,3,5:00,Women's Bantamweight
UFC 312: Du Plessis vs. Strickland 2,"February 08, 2025",http://www.ufcstats.com/fight-details/d13849f49f99bf01,Dricus Du Plessis,Sean Strickland,Draw/NC,U-DEC,5,5:00,Middleweight
UFC 312: Du Plessis vs. Strickland 2,"February 08, 2025",http://www.ufcstats.com/fight-details/03c2a836d033be8f,Zhang Weili,Tatiana Suarez,Draw/NC,U-DEC,5,5:00,Women's Strawweight
UFC 312: Du Plessis vs. Strickland 2,"February 08, 2025",http://www.ufcstats.com/fight-details/8435f90fbd50c7a5,Tallison Teixeira,Justin Tafa,Draw/NC,"KO/TKO

      

        Elbow",1,0:35,Heavyweight
UFC 312: Du Plessis vs. Strickland 2,"February 08, 2025",http://www.ufcstats.com/fight-details/de85ef2fd4769070,Jimmy Crute,Rodolfo Bellato,Draw/NC,M-DEC,3,5:00,Light Heavyweight
UFC 312: Du Plessis vs. Strickland 2,"February 08, 2025",http://www.ufcstats.com/fight-details/4ce53d8a26693f06,Jake Matthews,Francisco Prado,Draw/NC,U-DEC,3,5:00,Welterweight
UFC 312: Du Plessis vs. Strickland 2,"February 08, 2025",http://www.ufcstats.com/fight-details/c35a53be30bfd066,Gabriel Santos,Jack Jenkins,Draw/NC,"SUB

      

        Rear Naked Choke",3,2:06,Featherweight
UFC 312: Du Plessis vs. Strickland 2,"February 08, 2025",http://www.ufcstats.com/fight-details/64641156360b1b81,Tom Nolan,Viacheslav Borshchev,Draw/NC,U-DEC,3,5:00,Lightweight
UFC 312: Du Plessis vs. Strickland 2,"February 08, 2025",http://www.ufcstats.com/fight-details/946cae1beed2baec,Wang Cong,Bruna Brasil,Draw/NC,U-DEC,3,5:00,Women's Flyweight
