fighter_a,fighter_b,fighter_a_line,fighter_b_line,event,date
Bo Nickal,Reinier de Ridder,-372,290,UFC Fight Night: Sandhagen vs. Figueiredo,2025-05-03
Daniel Rodriguez,Santiago Ponzinibbio,118,-144,UFC Fight Night: Sandhagen vs. Figueiredo,2025-05-03
Daniel Marcos,Montel Jackson,198,-244,UFC Fight Night: Sandhagen vs. Figueiredo,2025-05-03
Cameron Smotherman,Serhiy Sidey,118,-139,UFC Fight Night: Sandhagen vs. Figueiredo,2025-05-03
Jeremy Stephens,Mason Jones,460,-635,UFC Fight Night: Sandhagen vs. Figueiredo,2025-05-03
Miesha Tate,Yana Santos,-154,126,UFC Fight Night: Sandhagen vs. Figueiredo,2025-05-03
Azamat Bekoev,Ryan Loder,-348,275,UFC Fight Night: Sandhagen vs. Figueiredo,2025-05-03
Gillian Robertson,Marina Rodriguez,-254,202,UFC Fight Night: Sandhagen vs. Figueiredo,2025-05-03
Gaston Bolanos,Quang Le,-130,106,UFC Fight Night: Sandhagen vs. Figueiredo,2025-05-03
Bruno Silva,Marc Andre Barriault,134,-164,UFC 315: Muhammad vs. Della Maddalena,2025-05-10
Daniel Santos,Jeong Yeong Lee,114,-134,UFC 315: Muhammad vs. Della Maddalena,2025-05-10
Bekzat Almakhan,Brad Katona,-144,121,UFC 315: Muhammad vs. Della Maddalena,2025-05-10
Gilbert Burns,Michael Morales,370,-482,UFC Fight Night: Burns vs. Morales,2025-05-17
Paul Craig,Rodolfo Bellato,310,-398,UFC Fight Night: Burns vs. Morales,2025-05-17
Mairon Santos,Sodiq Yusuff,-155,130,UFC Fight Night: Burns vs. Morales,2025-05-17
Erin Blanchfield,Maycee Barber,-248,200,UFC Fight Night: Blanchfield vs. Barber,2025-05-31
Ludovit Klein,Mateusz Gamrot,130,-158,UFC Fight Night: Blanchfield vs. Barber,2025-05-31
Billy Ray Goff,Ramiz Brahimaj,-402,310,UFC Fight Night: Blanchfield vs. Barber,2025-05-31
Bruno Lopes,Dustin Jacoby,158,-190,UFC Fight Night: Blanchfield vs. Barber,2025-05-31
Ketlen Vieira,Macy Chiasson,121,-144,UFC Fight Night: Blanchfield vs. Barber,2025-05-31
Dusko Todorovic,Zach Reese,176,-220,UFC Fight Night: Blanchfield vs. Barber,2025-05-31
Allan Nascimento,Jafel Filho,-120,100,UFC Fight Night: Blanchfield vs. Barber,2025-05-31
Ariane da Silva,Wang Cong,388,-538,UFC 316: Dvalishvili vs. O'Malley 2,2025-06-07
Ariane Lipski,Cong Wang,420,-590,UFC 316: Dvalishvili vs. O'Malley 2,2025-06-07
Jeka Saragih,Joo Sang Yoo,410,-554,UFC 316: Dvalishvili vs. O'Malley 2,2025-06-07
Quillan Salkilld,Yanal Ashmouz,-420,320,UFC 316: Dvalishvili vs. O'Malley 2,2025-06-07
Mark Choinski,Marquel Mederos,130,-154,UFC 316: Dvalishvili vs. O'Malley 2,2025-06-07
Joaquin Buckley,Kamaru Usman,-222,178,UFC Fight Night: Usman vs. Buckley,2025-06-14
Miranda Maverick,Rose Namajunas,200,-250,UFC Fight Night: Usman vs. Buckley,2025-06-14
Andre Petroski,Edmen Shahbazyan,132,-163,UFC Fight Night: Usman vs. Buckley,2025-06-14
Cody Garbrandt,Raoni Barcelos,205,-258,UFC Fight Night: Usman vs. Buckley,2025-06-14
Cody Brundage,Mansur Abdul-Malik,645,-975,UFC Fight Night: Usman vs. Buckley,2025-06-14
Alonzo Menifield,Oumar Sy,482,-685,UFC Fight Night: Usman vs. Buckley,2025-06-14
Paul Craig,Rodolfo Bellato,268,-342,UFC Fight Night: Usman vs. Buckley,2025-06-14
Court McGee,Michael Chiesa,260,-332,UFC Fight Night: Usman vs. Buckley,2025-06-14
Kris Moutinho,Malcolm Wellmaker,925,-1734,UFC Fight Night: Usman vs. Buckley,2025-06-14
Cody Durden,Jose Ochoa,171,-205,UFC Fight Night: Usman vs. Buckley,2025-06-14
Cameron Smotherman,Ricky Simon,342,-452,UFC Fight Night: Usman vs. Buckley,2025-06-14
Jamahal Hill,Khalil Rountree,-114,-2,UFC Fight Night: Hill vs. Rountree Jr.,2025-06-21
Ignacio Bahamondes,Rafael Fiziev,-142,118,UFC Fight Night: Hill vs. Rountree Jr.,2025-06-21
Curtis Blaydes,Rizvan Kuniev,-250,199,UFC Fight Night: Hill vs. Rountree Jr.,2025-06-21
Myktybek Orolbai,Tofiq Musayev,-166,140,UFC Fight Night: Hill vs. Rountree Jr.,2025-06-21
Nazim Sadykhov,Nikolas Motta,-438,332,UFC Fight Night: Hill vs. Rountree Jr.,2025-06-21
Bogdan Grad,Muhammad Naimov,205,-255,UFC Fight Night: Hill vs. Rountree Jr.,2025-06-21
Oban Elliott,Seokhyeon Ko,-480,355,UFC Fight Night: Hill vs. Rountree Jr.,2025-06-21
Ismail Naurdiev,Jun Yong Park,150,-184,UFC Fight Night: Hill vs. Rountree Jr.,2025-06-21
Daria Zhelezniakova,Melissa Mullins,202,-258,UFC Fight Night: Hill vs. Rountree Jr.,2025-06-21
Irina Alekseeva,Klaudia Sygula,-272,210,UFC Fight Night: Hill vs. Rountree Jr.,2025-06-21
Azat Maksum,Tagir Ulanbekov,340,-490,UFC Fight Night: Hill vs. Rountree Jr.,2025-06-21
Hamdy Abdelwahab,Mohammed Usman,-166,136,UFC Fight Night: Hill vs. Rountree Jr.,2025-06-21
Charles Oliveira,Ilia Topuria,305,-400,UFC 317: Topuria vs. Oliveira,2025-06-28
Alexandre Pantoja,Kai Kara-France,-250,202,UFC 317: Topuria vs. Oliveira,2025-06-28
Felipe Lima,Payton Talbott,-174,133,UFC 317: Topuria vs. Oliveira,2025-06-28
Beneil Dariush,Renato Moicano,-108,-112,UFC 317: Topuria vs. Oliveira,2025-06-28
Brandon Royval,Joshua van,101,-122,UFC 317: Topuria vs. Oliveira,2025-06-28
Hyder Amil,Jose Delgado,110,-130,UFC 317: Topuria vs. Oliveira,2025-06-28
Gregory Rodrigues,Jack Hermansson,-210,168,UFC 317: Topuria vs. Oliveira,2025-06-28
Terrance McKinney,Viacheslav Borshchev,-167,133,UFC 317: Topuria vs. Oliveira,2025-06-28
Tracy Cortez,Viviane Araujo,-218,176,UFC 317: Topuria vs. Oliveira,2025-06-28
Derrick Lewis,Tallison Teixeira,200,-255,UFC Fight Night: Lewis vs. Teixeira,2025-07-12
Gabriel Bonfim,Stephen Thompson,-425,305,UFC Fight Night: Lewis vs. Teixeira,2025-07-12
Calvin Kattar,Steve Garcia,116,-146,UFC Fight Night: Lewis vs. Teixeira,2025-07-12
Morgan Charriere,Nate Landwehr,-255,198,UFC Fight Night: Lewis vs. Teixeira,2025-07-12
Austen Lane,Vitor Petrino,455,-650,UFC Fight Night: Lewis vs. Teixeira,2025-07-12
Junior Tafa,Tuco Tokkos,-178,138,UFC Fight Night: Lewis vs. Teixeira,2025-07-12
Dustin Poirier,Max Holloway,-106,-114,UFC 318: Holloway vs. Poirier 3,2025-07-19
Adam Fugitt,Islam Dulatov,350,-549,UFC 318: Holloway vs. Poirier 3,2025-07-19
Brendan Allen,Marvin Vettori,-265,200,UFC 318: Holloway vs. Poirier 3,2025-07-19
Gunnar Nelson,Neil Magny,-335,240,UFC 318: Holloway vs. Poirier 3,2025-07-19
Reinier de Ridder,Robert Whittaker,123,-152,UFC Fight Night: Whittaker vs. De Ridder,2025-07-26
Marcus McGhee,Petr Yan,288,-378,UFC Fight Night: Whittaker vs. De Ridder,2025-07-26
Marc-Andre Barriault,Sharabutdin Magomedov,470,-660,UFC Fight Night: Whittaker vs. De Ridder,2025-07-26
Asu Almabaev,Jose Ochoa,-112,-108,UFC Fight Night: Whittaker vs. De Ridder,2025-07-26
Bogdan Guskov,Nikita Krylov,161,-198,UFC Fight Night: Whittaker vs. De Ridder,2025-07-26
Bryce Mitchell,Said Nurmagomedov,-143,114,UFC Fight Night: Whittaker vs. De Ridder,2025-07-26
Carlos Leal Miranda,Muslim Salikhov,-515,370,UFC Fight Night: Whittaker vs. De Ridder,2025-07-26
Da'mon Blackshear,Davey Grant,-366,275,UFC Fight Night: Whittaker vs. De Ridder,2025-07-26
Amanda Ribas,Tabatha Ricci,-179,150,UFC Fight Night: Whittaker vs. De Ridder,2025-07-26
Billy Elekana,Ibo Aslan,222,-284,UFC Fight Night: Whittaker vs. De Ridder,2025-07-26
Mohammad Yahya,Steven Nguyen,265,-348,UFC Fight Night: Whittaker vs. De Ridder,2025-07-26
Marcus Buchecha,Martin Buday,-262,212,UFC Fight Night: Whittaker vs. De Ridder,2025-07-26
Hyun Sung Park,Tatsuro Taira,260,-335,UFC Fight Night: Taira vs. Park,2025-08-02
Chris Duncan,Mateusz Rebecki,200,-250,UFC Fight Night: Taira vs. Park,2025-08-02
Elves Brener,Esteban Ribovics,200,-250,UFC Fight Night: Taira vs. Park,2025-08-02
Karol Rosa,Nora Cornolle,-155,125,UFC Fight Night: Taira vs. Park,2025-08-02
Elizeu Zaleski,Neil Magny,-150,125,UFC Fight Night: Taira vs. Park,2025-08-02
Danny Silva,Kevin Vallejos,300,-400,UFC Fight Night: Taira vs. Park,2025-08-02
Andrey Pulyaev,Nick Klein,-126,105,UFC Fight Night: Taira vs. Park,2025-08-02
Austin Bashi,John Yannis,-910,600,UFC Fight Night: Taira vs. Park,2025-08-02
Felipe Bunes,Rafael Estevam,480,-670,UFC Fight Night: Taira vs. Park,2025-08-02
Ketlen Souza,Piera Rodriguez,200,-250,UFC Fight Night: Taira vs. Park,2025-08-02
Amir Albazi,Tatsuro Taira,220,-275,UFC Fight Night: Taira vs. Park,2025-08-02
Anthony Hernandez,Roman Dolideze,-350,265,UFC Fight Night: Dolidze vs. Hernandez,2025-08-09
Ode Osbourne,Steve Erceg,400,-590,UFC Fight Night: Dolidze vs. Hernandez,2025-08-09
Angela Hill,Iasmin Lucindo,148,-186,UFC Fight Night: Dolidze vs. Hernandez,2025-08-09
Andre Fili,Christian Rodriguez,200,-250,UFC Fight Night: Dolidze vs. Hernandez,2025-08-09
Jean Matsumoto,Miles Johns,-250,200,UFC Fight Night: Dolidze vs. Hernandez,2025-08-09
Christian Leroy Duncan,Eryk Anders,-500,380,UFC Fight Night: Dolidze vs. Hernandez,2025-08-09
Julius Walker,Raffael Cerqueira,-715,500,UFC Fight Night: Dolidze vs. Hernandez,2025-08-09
Elijah Smith,Toshiomi Kazama,-820,550,UFC Fight Night: Dolidze vs. Hernandez,2025-08-09
Joselyne Edwards,Priscila Cachoeira,-420,310,UFC Fight Night: Dolidze vs. Hernandez,2025-08-09
Gilbert Urbina,Uros Medic,260,-335,UFC Fight Night: Dolidze vs. Hernandez,2025-08-09
Gabriella Fernandes,Julija Stoliarenko,-450,335,UFC Fight Night: Dolidze vs. Hernandez,2025-08-09
Cody Brundage,Eric McConico,-225,175,UFC Fight Night: Dolidze vs. Hernandez,2025-08-09
Drakkar Klose,Edson Barboza,-104,-115,UFC 319: Du Plessis vs. Chimaev,2025-08-16
Dione Barbosa,Karine Silva,170,-200,UFC 319: Du Plessis vs. Chimaev,2025-08-16
Alibi Idiris,Joseph Morales,-500,370,UFC 319: Du Plessis vs. Chimaev,2025-08-16
Bruna Brasil,Ming Shi,-400,295,UFC - Road to UFC 4.6,2025-08-22
Nyamjargal Tumendemberel,Terrance Saeteurn,-108,-114,UFC - Road to UFC 4.6,2025-08-22
Ren Yawei,Sangwook Kim,-2,-130,UFC - Road to UFC 4.6,2025-08-22
Johnny Walker,Zhang Mingyang,280,-375,UFC Fight Night: Walker vs. Zhang,2025-08-23
Aljamain Stirling,Brian Ortega,-525,380,UFC Fight Night: Walker vs. Zhang,2025-08-23
Sergei Pavlovich,Waldo Cortes-Acosta,-260,210,UFC Fight Night: Walker vs. Zhang,2025-08-23
Kevin Borjas,Sumudaerji Sumudaerji,140,-175,UFC Fight Night: Walker vs. Zhang,2025-08-23
Kiefer Crosbie,Taiyilake Nueraji,390,-550,UFC Fight Night: Walker vs. Zhang,2025-08-23
Gauge Young,Maheshate,-150,123,UFC Fight Night: Walker vs. Zhang,2025-08-23
Charles Johnson,Lone'er Kavanagh,205,-265,UFC Fight Night: Walker vs. Zhang,2025-08-23
Austin Hubbard,Rongzhu,220,-286,UFC Fight Night: Walker vs. Zhang,2025-08-23
Kyle Daukaus,Michel Pereira,200,-250,UFC Fight Night: Walker vs. Zhang,2025-08-23
Westin Wilson,Yizha,650,-1000,UFC Fight Night: Walker vs. Zhang,2025-08-23
Long Xiao,Su Young You,107,-134,UFC Fight Night: Walker vs. Zhang,2025-08-23
Suyoung You,Xiao Long,-136,115,UFC Fight Night: Walker vs. Zhang,2025-08-23
Diyar Nurgozhay,Uran Satybaldiev,-116,-105,UFC Fight Night: Walker vs. Zhang,2025-08-23
Caio Borralho,Nassourdine Imavov,-135,114,UFC Fight Night: Imavov vs. Borralho,2025-09-06
Benoit Saint-Denis,Mauricio Ruffy,146,-174,UFC Fight Night: Imavov vs. Borralho,2025-09-06
Modestas Bukauskas,Paul Craig,-345,265,UFC Fight Night: Imavov vs. Borralho,2025-09-06
Bolaji Oki,Mason Jones,118,-148,UFC Fight Night: Imavov vs. Borralho,2025-09-06
Axel Sola,Rhys McKee,-140,114,UFC Fight Night: Imavov vs. Borralho,2025-09-06
Robert Ruchala,William Gomis,225,-295,UFC Fight Night: Imavov vs. Borralho,2025-09-06
Brendson Ribeiro,Oumar Sy,450,-625,UFC Fight Night: Imavov vs. Borralho,2025-09-06
Ante Delija,Marcin Tybura,57,-118,UFC Fight Night: Imavov vs. Borralho,2025-09-06
Harry Hardwick,Kaue Fernandes,185,-235,UFC Fight Night: Imavov vs. Borralho,2025-09-06
Sam Patterson,Trey Waters,-190,150,UFC Fight Night: Imavov vs. Borralho,2025-09-06
Brad Tavares,Robert Bryczek,-220,175,UFC Fight Night: Imavov vs. Borralho,2025-09-06
Andreas Gustafsson,Rinat Fakhretdinov,-130,110,UFC Fight Night: Imavov vs. Borralho,2025-09-06
Sam Hughes,Shauna Bannon,-275,210,UFC Fight Night: Imavov vs. Borralho,2025-09-06
Fares Ziam,Kaue Fernandes,-350,275,UFC Fight Night: Imavov vs. Borralho,2025-09-06
Diego Lopes,Jean Silva,195,-250,UFC Fight Night: Lopes vs. Silva,2025-09-13
David Martinez,Rob Font,100,-124,UFC Fight Night: Lopes vs. Silva,2025-09-13
Carlos Ulberg,Dominick Reyes,-250,200,UFC Fight Night: Ulberg vs. Reyes,2025-09-27
Ivan Erslan,Jimmy Crute,188,-235,UFC Fight Night: Ulberg vs. Reyes,2025-09-27
Jack Jenkins,Ramon Taveras,-300,240,UFC Fight Night: Ulberg vs. Reyes,2025-09-27
Jake Matthews,Neil Magny,-350,260,UFC Fight Night: Ulberg vs. Reyes,2025-09-27
Charlie Campbell,Tom Nolan,135,-160,UFC Fight Night: Ulberg vs. Reyes,2025-09-27
Navajo Stirling,Rodolfo Bellato,-278,215,UFC Fight Night: Ulberg vs. Reyes,2025-09-27
Andre Petroski,Cam Rowston,-190,150,UFC Fight Night: Ulberg vs. Reyes,2025-09-27
Jonathan Micallef,Oban Elliott,105,-125,UFC Fight Night: Ulberg vs. Reyes,2025-09-27
Jamie Mullarkey,Rolando Bedoya,-125,100,UFC Fight Night: Ulberg vs. Reyes,2025-09-27
Colby Thicknesse,Josias Musasa,143,-180,UFC Fight Night: Ulberg vs. Reyes,2025-09-27
Luana Carolina,Michelle Montague,175,-220,UFC Fight Night: Ulberg vs. Reyes,2025-09-27
Alex Pereira,Magomed Ankalaev,200,-250,UFC 320: Ankalaev vs. Pereira 2,2025-10-04
Cory Sandhagen,Merab Dvalishvili,300,-400,UFC 320: Ankalaev vs. Pereira 2,2025-10-04
Jiri Prochazka,Khalil Rountree Jr.,-200,155,UFC 320: Ankalaev vs. Pereira 2,2025-10-04
Josh Emmett,Youssef Zalal,340,-440,UFC 320: Ankalaev vs. Pereira 2,2025-10-04
Abus Magomedov,Joe Pfyer,180,-220,UFC 320: Ankalaev vs. Pereira 2,2025-10-04
Ateba Gautier,Ozzy Diaz,-1000,650,UFC 320: Ankalaev vs. Pereira 2,2025-10-04
Ateba Gautier,Treston Vines,-1430,900,UFC 320: Ankalaev vs. Pereira 2,2025-10-04
Daniel Santos,Joosang Yoo,-137,114,UFC 320: Ankalaev vs. Pereira 2,2025-10-04
Jakub Wiklacz,Patchy Mix,255,-335,UFC 320: Ankalaev vs. Pereira 2,2025-10-04
Andre Muniz,Edmen Shahbazyan,250,-320,UFC 320: Ankalaev vs. Pereira 2,2025-10-04
Charles Oliveira,Mateusz Gamrot,-110,-110,UFC Fight Night: Oliveira vs. Gamrot,2025-10-11
Deiveson Figueiredo,Montel Jackson,255,-335,UFC Fight Night: Oliveira vs. Gamrot,2025-10-11
Joel Alvarez,Vicente Luque,-550,400,UFC Fight Night: Oliveira vs. Gamrot,2025-10-11
Brendan Allen,Reinier de Ridder,175,-220,UFC Fight Night: De Ridder vs. Allen,2025-10-18
Kevin Holland,Mike Malott,-110,-109,UFC Fight Night: De Ridder vs. Allen,2025-10-18
Aiemann Zahabi,Marlon Vera,-136,110,UFC Fight Night: De Ridder vs. Allen,2025-10-18
Jasmine Jasudavicius,Manon Fiorot,180,-230,UFC Fight Night: De Ridder vs. Allen,2025-10-18
Charles Jourdain,Davey Grant,-180,143,UFC Fight Night: De Ridder vs. Allen,2025-10-18
Kyle Nelson,Matt Frevola,-118,-105,UFC Fight Night: De Ridder vs. Allen,2025-10-18
Drew Dober,Kyle Prepolec,-330,265,UFC Fight Night: De Ridder vs. Allen,2025-10-18
Aoriqileng,Cody Gibson,160,-190,UFC Fight Night: De Ridder vs. Allen,2025-10-18
Cody Gibson,Qileng Aori,-182,145,UFC Fight Night: De Ridder vs. Allen,2025-10-18
Bruno Silva,Hyunsung Park,180,-225,UFC Fight Night: De Ridder vs. Allen,2025-10-18
Danny Barlow,Djorden Santos,-250,205,UFC Fight Night: De Ridder vs. Allen,2025-10-18
Ravena Oliveira,Stephanie Luciano,240,-300,UFC Fight Night: De Ridder vs. Allen,2025-10-18
Azamat Bekoev,Yousri Belgaroui,-300,240,UFC Fight Night: De Ridder vs. Allen,2025-10-18
Melissa Croden,Tainara Lisboa,-132,108,UFC Fight Night: De Ridder vs. Allen,2025-10-18
Ciryl Gane,Tom Aspinall,310,-385,UFC 321: Aspinall vs. Gane,2025-10-25
Mackenzie Dern,Virna Jandiroba,-145,120,UFC 321: Aspinall vs. Gane,2025-10-25
Mario Bautista,Umar Nurmagomedov,450,-620,UFC 321: Aspinall vs. Gane,2025-10-25
Alexander Volkov,Jailton Almeida,150,-190,UFC 321: Aspinall vs. Gane,2025-10-25
Aleksandar Rakic,Azamat Murzakanov,-118,100,UFC 321: Aspinall vs. Gane,2025-10-25
Nasrat Haqparast,Quillan Salkilld,102,-127,UFC 321: Aspinall vs. Gane,2025-10-25
Ikram Aliskerov,Junyong Park,-225,175,UFC 321: Aspinall vs. Gane,2025-10-25
Ludovit Klein,Mateusz Rebecki,-148,120,UFC 321: Aspinall vs. Gane,2025-10-25
Louie Sutherland,Valter Walker,295,-385,UFC 321: Aspinall vs. Gane,2025-10-25
Jose Delgado,Nathaniel Wood,-157,125,UFC 321: Aspinall vs. Gane,2025-10-25
Chris Barnett,Hamdy Abdelwahab,340,-450,UFC 321: Aspinall vs. Gane,2025-10-25
Azat Maksum,Mitch Raposo,-500,380,UFC 321: Aspinall vs. Gane,2025-10-25
Jaqueline Amorim,Mizuki Inoue,-450,330,UFC 321: Aspinall vs. Gane,2025-10-25
David Onama,Steve Garcia,110,-136,UFC Fight Night: Garcia vs. Onama,2025-11-01
Ante Delija,Waldo Cortes-Acosta,-132,107,UFC Fight Night: Garcia vs. Onama,2025-11-01
Jeremiah Wells,Themba Gorimbo,114,-141,UFC Fight Night: Garcia vs. Onama,2025-11-01
Isaac Dulgarian,Yadier Del Valle,-147,115,UFC Fight Night: Garcia vs. Onama,2025-11-01
Charles Radtke,Daniel Frunza,-180,143,UFC Fight Night: Garcia vs. Onama,2025-11-01
Allan Nascimento,Cody Durden,-333,250,UFC Fight Night: Garcia vs. Onama,2025-11-01
Billy Elekana,Kevin Christian,-275,210,UFC Fight Night: Garcia vs. Onama,2025-11-01
Chang Ho Lee,Timmy Cuamba,-108,-110,UFC Fight Night: Garcia vs. Onama,2025-11-01
Donte Johnson,Sedriques Dumas,-375,280,UFC Fight Night: Garcia vs. Onama,2025-11-01
Ketlen Vieira,Norma Dumont,132,-163,UFC Fight Night: Garcia vs. Onama,2025-11-01
Alice Ardelean,Montserrat Ruiz,-370,290,UFC Fight Night: Garcia vs. Onama,2025-11-01
Phil Rowe,Seokhyeon Ko,150,-182,UFC Fight Night: Garcia vs. Onama,2025-11-01
Ariane Carnelossi,Talita Alencar,170,-210,UFC Fight Night: Garcia vs. Onama,2025-11-01
Gabriel Bonfim,Randy Brown,-165,135,UFC Fight Night: Bonfim vs. Brown,2025-11-08
Joseph Morales,Matt Schnell,-450,333,UFC Fight Night: Bonfim vs. Brown,2025-11-08
Muslim Salikhov,Uros Medic,108,-135,UFC Fight Night: Bonfim vs. Brown,2025-11-08
Chris Padilla,Ismael Bonfim,-118,100,UFC Fight Night: Bonfim vs. Brown,2025-11-08
Christian Leroy Duncan,Marco Tulio,135,-166,UFC Fight Night: Bonfim vs. Brown,2025-11-08
Islam Makhachev,Jack Della Maddalena,-305,240,UFC 322: Della Maddalena vs. Makhachev,2025-11-15
Valentina Shevchenko,Zhang Weili,-145,118,UFC 322: Della Maddalena vs. Makhachev,2025-11-15
Michael Morales,Sean Brady,120,-150,UFC 322: Della Maddalena vs. Makhachev,2025-11-15
Carlos Prates,Leon Edwards,-163,135,UFC 322: Della Maddalena vs. Makhachev,2025-11-15
Beneil Dariush,Benoit Saint-Denis,155,-200,UFC 322: Della Maddalena vs. Makhachev,2025-11-15
Bo Nickal,Rodolfo Vieira,-250,195,UFC 322: Della Maddalena vs. Makhachev,2025-11-15
Gregory Rodrigues,Roman Kopylov,-189,150,UFC 322: Della Maddalena vs. Makhachev,2025-11-15
Erin Blanchfield,Tracy Cortez,-330,265,UFC 322: Della Maddalena vs. Makhachev,2025-11-15
Ethyn Ewing,Malcolm Wellmaker,320,-435,UFC 322: Della Maddalena vs. Makhachev,2025-11-15
Gerald Meerschaert,Kyle Daukaus,380,-500,UFC 322: Della Maddalena vs. Makhachev,2025-11-15
Chepe Mariscal,Pat Sabbatini,-103,-120,UFC 322: Della Maddalena vs. Makhachev,2025-11-15
Angela Hill,Fatima Kline,370,-500,UFC 322: Della Maddalena vs. Makhachev,2025-11-15
Arman Tsarukyan,Dan Hooker,-770,550,UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22
Belal Muhammad,Ian Machado Garry,225,-295,UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22
Alonzo Menifield,Volkan Oezdemir,188,-230,UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22
Jack Hermansson,Myktybek Orolbai,160,-200,UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22
Shamil Gaziev,Waldo Cortes-Acosta,120,-150,UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22
Kyoji Horiguchi,Tagir Ulanbekov,185,-230,UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22
Bogdan Grad,Luke Riley,205,-250,UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22
Nicolas Dalby,Saygid Izagakhmaev,270,-350,UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22
Alex Perez,Asu Almabayev,163,-200,UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22
Abdulrakhman Yakhyaev,Rafael Cerqueira,-1667,950,UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22
Nurullo Aliev,Shem Rock,-305,235,UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22
Aleksandre Topuria,Bekzat Almakhan,-150,123,UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22
Ismail Naurdiev,Ryan Loder,-125,106,UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22
Denzel Freeman,Marek Bujlo,-225,175,UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22
Antonio Trocoli,Mansur Abdul-Malik,800,-1408,UFC 323: Dvalishvili vs. Yan 2,2025-12-06
Mairon Santos,Muhammad Naimov,-245,195,UFC 323: Dvalishvili vs. Yan 2,2025-12-06
Brandon Royval,Manel Kape,210,-275,UFC Fight Night: Royval vs. Kape,2025-12-13
Giga Chikadze,Kevin Vallejos,265,-345,UFC Fight Night: Royval vs. Kape,2025-12-13
Cesar Almeida,Cezary Oleksiejczuk,175,-220,UFC Fight Night: Royval vs. Kape,2025-12-13
Melquizael Costa,Morgan Charriere,-160,130,UFC Fight Night: Royval vs. Kape,2025-12-13
Kennedy Nzechukwu,Marcus Buchecha,-126,106,UFC Fight Night: Royval vs. Kape,2025-12-13
Bobby Green,Lance Gibson Jr,-178,150,UFC Fight Night: Royval vs. Kape,2025-12-13
Amanda Lemos,Gillian Robertson,163,-200,UFC Fight Night: Royval vs. Kape,2025-12-13
Neil Magny,Yaroslav Amosov,370,-500,UFC Fight Night: Royval vs. Kape,2025-12-13
Isaac Thomson,Joanderson Brito,188,-240,UFC Fight Night: Royval vs. Kape,2025-12-13
Sean Sharaf,Steven Asplund,180,-225,UFC Fight Night: Royval vs. Kape,2025-12-13
Luana Santos,Melissa Croden,-137,110,UFC Fight Night: Royval vs. Kape,2025-12-13
Allen Frye,Guilherme Pat,140,-177,UFC Fight Night: Royval vs. Kape,2025-12-13
Jamey-Lyn Horth,Tereza Bleda,165,-210,UFC Fight Night: Royval vs. Kape,2025-12-13
Denzel Freeman,Josh Hokit,205,-265,UFC 324: Gaethje vs. Pimblett,2026-01-24
Alexander Hernandez,Michael Johnson,-110,-106,UFC 324: Gaethje vs. Pimblett,2026-01-24
Adam Fugitt,Ty Miller,360,-480,UFC 324: Gaethje vs. Pimblett,2026-01-24
Alexander Volkanovski,Diego Lopes,-150,125,UFC 325: Volkanovski vs. Lopes 2,2026-01-31
Benoit Saint Denis,Dan Hooker,-400,300,UFC 325: Volkanovski vs. Lopes 2,2026-01-31
Mauricio Ruffy,Rafael Fiziev,102,-125,UFC 325: Volkanovski vs. Lopes 2,2026-01-31
Tai Tuivasa,Tallison Teixeira,245,-315,UFC 325: Volkanovski vs. Lopes 2,2026-01-31
Jamie Mullarkey,Quillan Salkilld,600,-910,UFC 325: Volkanovski vs. Lopes 2,2026-01-31
Billy Elekana,Junior Tafa,-270,210,UFC 325: Volkanovski vs. Lopes 2,2026-01-31
Cam Rowston,Cody Brundage,-360,280,UFC 325: Volkanovski vs. Lopes 2,2026-01-31
Jacob Malkoun,Torrez Finney,-142,118,UFC 325: Volkanovski vs. Lopes 2,2026-01-31
Jonathan Micallef,Oban Elliott,-126,106,UFC 325: Volkanovski vs. Lopes 2,2026-01-31
Kaan Ofli,Yizha,195,-250,UFC 325: Volkanovski vs. Lopes 2,2026-01-31
Dom Mar Fan,Kim Sang Wook,-165,132,UFC 325: Volkanovski vs. Lopes 2,2026-01-31
Keiichiro Nakamura,Sebastian Szalay,102,-125,UFC 325: Volkanovski vs. Lopes 2,2026-01-31
Lawrence Lui,Sulangrangbo,215,-278,UFC 325: Volkanovski vs. Lopes 2,2026-01-31
Mario Bautista,Vinicius Oliveira,-142,116,UFC Fight Night: Bautista vs. Oliveira,2026-02-07
Amir Albazi,Kyoji Horiguchi,278,-368,UFC Fight Night: Bautista vs. Oliveira,2026-02-07
Jailton Almeida,Rizvan Kuniev,-176,140,UFC Fight Night: Bautista vs. Oliveira,2026-02-07
Marc-Andre Barriault,Michal Oleksiejczluk,370,-500,UFC Fight Night: Bautista vs. Oliveira,2026-02-07
